e51dc614-53ec-43bb-b2cc-a673cce9f2433|you are a test....
e@47333f3-af63-41fa-989b-5e52b32158e0|you disrespected kailey, my friend.
32c93b7d-dd91-4319-9d53-93a0bb7e64baa|you are the test......
1b613ebc-5f29-469c-b520-770b2ca1c9e1|you swore in chat.......
f@c2c1e5c-e165-4dfb-bc43-8b1102346c0e|you spammed in chat.......
f@79e93a8-0729-4273-b934-6e8b8cafd5d6|you spammed inside chat.......
121719da-3795-40c4-b552-138044ab3dd0|you spammed every second, that can't be an accident, I also asked you not to spam
fd6aca4e-78f6-4fd6-b29f-a55763da01ca|you put the hard r as your chat name.
d8fe0833-9438-422b-9859-584894cdff35|you put the n-word as your chat name...
62628c4d-1308-4bf1-9573-08a8d486ffae|too many tabs open.
8@4272100-7e20-47c7-bdc3-4622ebde771c|you cannot just put the letter h as the email, ban time is 2 days. This is korben
f@28b7296-74fa-4da5-a7d1-d8f26516e189|you cannot just leave your email blank when sharing, ban time 2 days. This is Naim Johnson
6651f3fa-5dea-47a4-9d3c-ccd440d60d4f|you can't just leave your email blank when you share it, ban time 2 days.
3a5f8f69-158f-40cc-86b5-4d410304cdf4|you put the n-word as your name in chat...
750df39e-01ba-4450-8dff-fe5a976114fb|you are suspicious.
2@7bf5ffe-fe99-4bda-ac20-9cede93c8f97|you swore inside the comments....|This is Ethan S
f7450fad-c8aa-4b0b-a4ec-f81fb001cd32|you like to start fights with people abruptly.
8a33287a-bc4e-4732-bf6d-80e1768b166b|you put some name..
11231d07-46f4-4862-b67a-c8ee05fc1aa2|you are banned network administrator!
d9e0e2dc-488f-4bbe-b3df-e88710a20c21|you have been banned micro technichian'.
